SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/BTO_0005824	http://purl.obolibrary.org/obo/CL_0000609	0.876
http://purl.obolibrary.org/obo/BTO_0004341	http://purl.obolibrary.org/obo/UBERON_0002956	0.659
http://purl.obolibrary.org/obo/BTO_0004562	http://purl.obolibrary.org/obo/CL_0009070	0.76
http://purl.obolibrary.org/obo/BTO_0001846	http://purl.obolibrary.org/obo/UBERON_0000410	0.835
http://purl.obolibrary.org/obo/BTO_0006222	http://purl.obolibrary.org/obo/UBERON_0003050	0.808
http://purl.obolibrary.org/obo/BTO_0000106	http://purl.obolibrary.org/obo/UBERON_0001714	0.898
http://purl.obolibrary.org/obo/BTO_0001660	http://purl.obolibrary.org/obo/UBERON_0014398	0.823
http://purl.obolibrary.org/obo/BTO_0003982	http://purl.obolibrary.org/obo/CL_0002672	0.728
http://purl.obolibrary.org/obo/BTO_0001435	http://purl.obolibrary.org/obo/UBERON_0001460	0.689
http://purl.obolibrary.org/obo/BTO_0002075	http://purl.obolibrary.org/obo/UBERON_0003220	0.625
http://purl.obolibrary.org/obo/BTO_0003487	http://purl.obolibrary.org/obo/UBERON_0004877	0.837
http://purl.obolibrary.org/obo/BTO_0001451	http://purl.obolibrary.org/obo/UBERON_0001798	0.753
http://purl.obolibrary.org/obo/BTO_0001815	http://purl.obolibrary.org/obo/CL_0000122	0.735
http://purl.obolibrary.org/obo/BTO_0000287	http://purl.obolibrary.org/obo/UBERON_0001772	0.818
http://purl.obolibrary.org/obo/BTO_0003490	http://purl.obolibrary.org/obo/UBERON_0001648	0.842
http://purl.obolibrary.org/obo/BTO_0001812	http://purl.obolibrary.org/obo/CL_0000857	0.845
http://purl.obolibrary.org/obo/BTO_0001921	http://purl.obolibrary.org/obo/UBERON_0004277	0.594
http://purl.obolibrary.org/obo/BTO_0004468	http://purl.obolibrary.org/obo/UBERON_0006913	0.852
http://purl.obolibrary.org/obo/BTO_0006169	http://purl.obolibrary.org/obo/UBERON_0002322	0.805
http://purl.obolibrary.org/obo/BTO_0001715	http://purl.obolibrary.org/obo/UBERON_0004364	0.722
http://purl.obolibrary.org/obo/BTO_0004719	http://purl.obolibrary.org/obo/CL_0002251	0.73
http://purl.obolibrary.org/obo/BTO_0004564	http://purl.obolibrary.org/obo/CL_0000942	0.806
http://purl.obolibrary.org/obo/BTO_0002053	http://purl.obolibrary.org/obo/UBERON_0010143	0.758
http://purl.obolibrary.org/obo/BTO_0000723	http://purl.obolibrary.org/obo/UBERON_0001804	0.813
http://purl.obolibrary.org/obo/BTO_0003381	http://purl.obolibrary.org/obo/UBERON_0004681	0.889
http://purl.obolibrary.org/obo/BTO_0000734	http://purl.obolibrary.org/obo/CL_0002193	0.723
http://purl.obolibrary.org/obo/BTO_0000766	http://purl.obolibrary.org/obo/UBERON_0004638	0.877
http://purl.obolibrary.org/obo/BTO_0001813	http://purl.obolibrary.org/obo/CL_0000858	0.855
