SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/BTO_0005078	http://purl.obolibrary.org/obo/mesh_C000634668	0.123
http://purl.obolibrary.org/obo/BTO_0004989	http://purl.obolibrary.org/obo/mesh_D013806	0.112
http://purl.obolibrary.org/obo/BTO_0006363	http://purl.obolibrary.org/obo/mesh_D059167	0.121
http://purl.obolibrary.org/obo/BTO_0003505	http://purl.obolibrary.org/obo/mesh_D015461	0.146
http://purl.obolibrary.org/obo/BTO_0001921	http://purl.obolibrary.org/obo/mesh_C569690	0.201
http://purl.obolibrary.org/obo/BTO_0001655	http://purl.obolibrary.org/obo/mesh_C000670794	0.215
http://purl.obolibrary.org/obo/BTO_0000780	http://purl.obolibrary.org/obo/mesh_C026515	0.155
http://purl.obolibrary.org/obo/BTO_0005490	http://purl.obolibrary.org/obo/mesh_C581939	0.184
http://purl.obolibrary.org/obo/BTO_0003338	http://purl.obolibrary.org/obo/mesh_C112083	0.159
http://purl.obolibrary.org/obo/BTO_0003566	http://purl.obolibrary.org/obo/mesh_C561790	0.131
http://purl.obolibrary.org/obo/BTO_0005771	http://purl.obolibrary.org/obo/mesh_C522538	0.158
http://purl.obolibrary.org/obo/BTO_0000376	http://purl.obolibrary.org/obo/mesh_D002058	0.119
http://purl.obolibrary.org/obo/BTO_0002015	http://purl.obolibrary.org/obo/mesh_C092612	0.153
http://purl.obolibrary.org/obo/BTO_0000664	http://purl.obolibrary.org/obo/mesh_C586732	0.178
http://purl.obolibrary.org/obo/BTO_0001408	http://purl.obolibrary.org/obo/mesh_C503567	0.115
http://purl.obolibrary.org/obo/BTO_0006355	http://purl.obolibrary.org/obo/mesh_C096499	0.157
http://purl.obolibrary.org/obo/BTO_0006559	http://purl.obolibrary.org/obo/mesh_D036821	0.145
http://purl.obolibrary.org/obo/BTO_0004488	http://purl.obolibrary.org/obo/mesh_C081550	0.141
http://purl.obolibrary.org/obo/BTO_0006556	http://purl.obolibrary.org/obo/mesh_D009256	0.116
http://purl.obolibrary.org/obo/BTO_0002774	http://purl.obolibrary.org/obo/mesh_C074636	0.126
http://purl.obolibrary.org/obo/BTO_0002737	http://purl.obolibrary.org/obo/mesh_C576535	0.116
http://purl.obolibrary.org/obo/BTO_0006431	http://purl.obolibrary.org/obo/mesh_C000659545	0.146
http://purl.obolibrary.org/obo/BTO_0003284	http://purl.obolibrary.org/obo/mesh_D000069454	0.175
http://purl.obolibrary.org/obo/BTO_0004549	http://purl.obolibrary.org/obo/mesh_D000080945	0.159
http://purl.obolibrary.org/obo/BTO_0005195	http://purl.obolibrary.org/obo/mesh_C491551	0.218
http://purl.obolibrary.org/obo/BTO_0006414	http://purl.obolibrary.org/obo/mesh_C000672811	0.252
http://purl.obolibrary.org/obo/BTO_0004595	http://purl.obolibrary.org/obo/mesh_C446120	0.189
http://purl.obolibrary.org/obo/BTO_0004373	http://purl.obolibrary.org/obo/mesh_C073192	0.127
http://purl.obolibrary.org/obo/BTO_0000806	http://purl.obolibrary.org/obo/mesh_D015313	0.125
http://purl.obolibrary.org/obo/BTO_0006071	http://purl.obolibrary.org/obo/mesh_C033919	0.15
http://purl.obolibrary.org/obo/BTO_0003497	http://purl.obolibrary.org/obo/mesh_D002291	0.137
