SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/BTO_0006363	http://purl.obolibrary.org/obo/mesh_C000662923	0.742
http://purl.obolibrary.org/obo/BTO_0001921	http://purl.obolibrary.org/obo/mesh_D015353	0.757
http://purl.obolibrary.org/obo/BTO_0005490	http://purl.obolibrary.org/obo/mesh_C055109	0.679
http://purl.obolibrary.org/obo/BTO_0003338	http://purl.obolibrary.org/obo/mesh_C000723612	0.695
http://purl.obolibrary.org/obo/BTO_0003566	http://purl.obolibrary.org/obo/mesh_C000596392	0.679
http://purl.obolibrary.org/obo/BTO_0005771	http://purl.obolibrary.org/obo/mesh_C095654	0.776
http://purl.obolibrary.org/obo/BTO_0000376	http://purl.obolibrary.org/obo/mesh_D004557	0.835
http://purl.obolibrary.org/obo/BTO_0003705	http://purl.obolibrary.org/obo/mesh_C000703017	0.625
http://purl.obolibrary.org/obo/BTO_0003556	http://purl.obolibrary.org/obo/mesh_C101452	0.757
http://purl.obolibrary.org/obo/BTO_0000664	http://purl.obolibrary.org/obo/mesh_D020014	0.812
http://purl.obolibrary.org/obo/BTO_0001408	http://purl.obolibrary.org/obo/mesh_D008125	0.828
http://purl.obolibrary.org/obo/BTO_0005305	http://purl.obolibrary.org/obo/mesh_D065173	0.514
http://purl.obolibrary.org/obo/BTO_0006355	http://purl.obolibrary.org/obo/mesh_C042726	0.807
http://purl.obolibrary.org/obo/BTO_0004488	http://purl.obolibrary.org/obo/mesh_C490954	0.688
http://purl.obolibrary.org/obo/BTO_0006556	http://purl.obolibrary.org/obo/mesh_C023667	0.764
http://purl.obolibrary.org/obo/BTO_0000997	http://purl.obolibrary.org/obo/mesh_D010280	0.93
http://purl.obolibrary.org/obo/BTO_0005848	http://purl.obolibrary.org/obo/mesh_C000624543	0.822
http://purl.obolibrary.org/obo/BTO_0001445	http://purl.obolibrary.org/obo/mesh_D013082	0.747
http://purl.obolibrary.org/obo/BTO_0002774	http://purl.obolibrary.org/obo/mesh_D058225	0.699
http://purl.obolibrary.org/obo/BTO_0001425	http://purl.obolibrary.org/obo/mesh_C495032	0.67
http://purl.obolibrary.org/obo/BTO_0002737	http://purl.obolibrary.org/obo/mesh_C052245	0.575
