SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/BTO_0005824	http://purl.obolibrary.org/obo/CL_0000609	0.923
http://purl.obolibrary.org/obo/BTO_0004341	http://purl.obolibrary.org/obo/UBERON_0034892	0.964
http://purl.obolibrary.org/obo/BTO_0004562	http://purl.obolibrary.org/obo/CL_0002364	0.893
http://purl.obolibrary.org/obo/BTO_0001846	http://purl.obolibrary.org/obo/UBERON_0000410	0.928
http://purl.obolibrary.org/obo/BTO_0006222	http://purl.obolibrary.org/obo/UBERON_0003050	0.938
http://purl.obolibrary.org/obo/BTO_0001770	http://purl.obolibrary.org/obo/UBERON_0001778	0.943
http://purl.obolibrary.org/obo/BTO_0000106	http://purl.obolibrary.org/obo/UBERON_0001714	0.937
http://purl.obolibrary.org/obo/BTO_0001751	http://purl.obolibrary.org/obo/UBERON_0000401	0.886
http://purl.obolibrary.org/obo/BTO_0001660	http://purl.obolibrary.org/obo/UBERON_0004225	0.901
http://purl.obolibrary.org/obo/BTO_0004616	http://purl.obolibrary.org/obo/UBERON_0003029	0.954
http://purl.obolibrary.org/obo/BTO_0001246	http://purl.obolibrary.org/obo/UBERON_0001523	0.949
http://purl.obolibrary.org/obo/BTO_0001435	http://purl.obolibrary.org/obo/UBERON_0001460	0.888
http://purl.obolibrary.org/obo/BTO_0003487	http://purl.obolibrary.org/obo/UBERON_0004877	0.892
http://purl.obolibrary.org/obo/BTO_0006168	http://purl.obolibrary.org/obo/UBERON_0002035	0.861
http://purl.obolibrary.org/obo/BTO_0004104	http://purl.obolibrary.org/obo/UBERON_0004084	0.84
http://purl.obolibrary.org/obo/BTO_0003581	http://purl.obolibrary.org/obo/GO_0072310	0.685
http://purl.obolibrary.org/obo/BTO_0000287	http://purl.obolibrary.org/obo/UBERON_0001772	0.914
http://purl.obolibrary.org/obo/BTO_0006489	http://purl.obolibrary.org/obo/UBERON_0011049	0.729
http://purl.obolibrary.org/obo/BTO_0001020	http://purl.obolibrary.org/obo/UBERON_0008266	0.846
http://purl.obolibrary.org/obo/BTO_0001877	http://purl.obolibrary.org/obo/UBERON_0001298	0.891
http://purl.obolibrary.org/obo/BTO_0002637	http://purl.obolibrary.org/obo/CL_0002368	0.8
http://purl.obolibrary.org/obo/BTO_0003490	http://purl.obolibrary.org/obo/UBERON_0001648	0.943
http://purl.obolibrary.org/obo/BTO_0001858	http://purl.obolibrary.org/obo/UBERON_0013731	0.766
http://purl.obolibrary.org/obo/BTO_0006169	http://purl.obolibrary.org/obo/UBERON_0035577	0.832
http://purl.obolibrary.org/obo/BTO_0004674	http://purl.obolibrary.org/obo/UBERON_0003085	0.907
http://purl.obolibrary.org/obo/BTO_0001812	http://purl.obolibrary.org/obo/CL_0000857	0.828
http://purl.obolibrary.org/obo/BTO_0004351	http://purl.obolibrary.org/obo/UBERON_0002983	0.879
http://purl.obolibrary.org/obo/BTO_0001921	http://purl.obolibrary.org/obo/UBERON_0000018	0.816
http://purl.obolibrary.org/obo/BTO_0000030	http://purl.obolibrary.org/obo/UBERON_0011145	0.798
http://purl.obolibrary.org/obo/BTO_0001721	http://purl.obolibrary.org/obo/UBERON_0002236	0.733
http://purl.obolibrary.org/obo/BTO_0004724	http://purl.obolibrary.org/obo/UBERON_3010463	0.933
http://purl.obolibrary.org/obo/BTO_0004468	http://purl.obolibrary.org/obo/UBERON_0006913	0.916
http://purl.obolibrary.org/obo/BTO_0006035	http://purl.obolibrary.org/obo/UBERON_0003687	0.831
http://purl.obolibrary.org/obo/BTO_0001715	http://purl.obolibrary.org/obo/UBERON_0004364	0.936
http://purl.obolibrary.org/obo/BTO_0000952	http://purl.obolibrary.org/obo/UBERON_0000351	0.878
http://purl.obolibrary.org/obo/BTO_0002782	http://purl.obolibrary.org/obo/UBERON_0001215	0.924
http://purl.obolibrary.org/obo/BTO_0004719	http://purl.obolibrary.org/obo/CL_0000424	0.682
http://purl.obolibrary.org/obo/BTO_0004564	http://purl.obolibrary.org/obo/CL_0000941	0.725
http://purl.obolibrary.org/obo/BTO_0002053	http://purl.obolibrary.org/obo/UBERON_0010143	0.916
http://purl.obolibrary.org/obo/BTO_0003381	http://purl.obolibrary.org/obo/UBERON_0004681	0.935
http://purl.obolibrary.org/obo/BTO_0005608	http://purl.obolibrary.org/obo/UBERON_0018657	0.689
http://purl.obolibrary.org/obo/BTO_0003665	http://purl.obolibrary.org/obo/UBERON_0014666	0.945
http://purl.obolibrary.org/obo/BTO_0004798	http://purl.obolibrary.org/obo/UBERON_0010147	0.878
http://purl.obolibrary.org/obo/BTO_0000766	http://purl.obolibrary.org/obo/UBERON_0004638	0.931
http://purl.obolibrary.org/obo/BTO_0002099	http://purl.obolibrary.org/obo/UBERON_0001756	0.888
http://purl.obolibrary.org/obo/BTO_0001813	http://purl.obolibrary.org/obo/CL_0000858	0.847
http://purl.obolibrary.org/obo/BTO_0002313	http://purl.obolibrary.org/obo/CL_0002377	0.775
http://purl.obolibrary.org/obo/BTO_0000083	http://purl.obolibrary.org/obo/UBERON_0000474	0.857
http://purl.obolibrary.org/obo/BTO_0000346	http://purl.obolibrary.org/obo/UBERON_0001555	0.706
http://purl.obolibrary.org/obo/BTO_0001255	http://purl.obolibrary.org/obo/CL_0002620	0.882
http://purl.obolibrary.org/obo/BTO_0005189	http://purl.obolibrary.org/obo/UBERON_0007132	0.873
http://purl.obolibrary.org/obo/BTO_0001745	http://purl.obolibrary.org/obo/UBERON_0001294	0.868
http://purl.obolibrary.org/obo/BTO_0001506	http://purl.obolibrary.org/obo/UBERON_0004289	0.95
