SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/UBERON_0014455	http://purl.obolibrary.org/obo/UBERON_0002190	0.656
http://purl.obolibrary.org/obo/GO_0001654	http://purl.obolibrary.org/obo/Orphanet_108987	0.403
http://purl.obolibrary.org/obo/GO_0051378	http://www.ebi.ac.uk/efo/EFO_0004846	0.547
http://purl.obolibrary.org/obo/UBERON_0001628	http://www.ebi.ac.uk/efo/EFO_1001118	0.554
http://purl.obolibrary.org/obo/GO_0042713	http://purl.obolibrary.org/obo/HP_0012876	0.447
http://purl.obolibrary.org/obo/GO_0051276	http://purl.obolibrary.org/obo/MONDO_0019040	0.48
http://purl.obolibrary.org/obo/CL_0000517	http://purl.obolibrary.org/obo/CL_0002009	0.456
http://purl.obolibrary.org/obo/CL_0000941	http://purl.obolibrary.org/obo/CL_0000942	0.496
http://purl.obolibrary.org/obo/CL_2000006	http://purl.obolibrary.org/obo/CL_0000844	0.547
http://purl.obolibrary.org/obo/GO_0072091	http://purl.obolibrary.org/obo/GO_0008283	0.588
http://purl.obolibrary.org/obo/UBERON_0018667	http://purl.obolibrary.org/obo/NCBITaxon_6945	0.388
http://purl.obolibrary.org/obo/UBERON_0009955	http://purl.obolibrary.org/obo/UBERON_0009955	0.525
http://purl.obolibrary.org/obo/UBERON_0010171	http://www.ebi.ac.uk/efo/EFO_0007823	0.383
http://purl.obolibrary.org/obo/GO_1901655	http://purl.obolibrary.org/obo/GO_0071467	0.637
http://purl.obolibrary.org/obo/CL_0000942	http://purl.obolibrary.org/obo/CL_0000989	0.435
http://purl.obolibrary.org/obo/CL_0000549	http://www.ebi.ac.uk/efo/EFO_0009250	0.771
http://purl.obolibrary.org/obo/CL_0002198	http://www.ebi.ac.uk/efo/EFO_1001079	0.448
http://purl.obolibrary.org/obo/UBERON_0004464	http://purl.obolibrary.org/obo/HP_0001591	0.458
http://purl.obolibrary.org/obo/GO_0031975	http://purl.obolibrary.org/obo/GO_0005740	0.512
http://purl.obolibrary.org/obo/UBERON_0001005	http://www.ebi.ac.uk/efo/EFO_0005414	0.508
http://purl.obolibrary.org/obo/GO_1902565	http://purl.obolibrary.org/obo/GO_2000428	0.715
http://purl.obolibrary.org/obo/UBERON_0002446	http://purl.obolibrary.org/obo/HP_0002999	0.495
http://purl.obolibrary.org/obo/GO_0009100	http://purl.obolibrary.org/obo/MONDO_0045010	0.623
http://purl.obolibrary.org/obo/UBERON_0001331	http://purl.obolibrary.org/obo/UBERON_0001332	0.436
http://purl.obolibrary.org/obo/UBERON_0007652	http://purl.obolibrary.org/obo/UBERON_0007650	0.82
http://purl.obolibrary.org/obo/UBERON_0001640	http://www.ebi.ac.uk/efo/EFO_0001060	0.411
http://purl.obolibrary.org/obo/GO_0005496	http://purl.obolibrary.org/obo/CHEBI_26764	0.561
http://purl.obolibrary.org/obo/PR_P10147	http://www.ebi.ac.uk/efo/EFO_0008043	0.61
http://purl.obolibrary.org/obo/UBERON_0003393	http://purl.obolibrary.org/obo/MONDO_0021066	0.438
http://purl.obolibrary.org/obo/UBERON_0008231	http://purl.obolibrary.org/obo/UBERON_0000915	0.558
http://purl.obolibrary.org/obo/GO_0002469	http://www.ebi.ac.uk/efo/EFO_0008238	0.453
http://purl.obolibrary.org/obo/UBERON_0002050	http://www.ebi.ac.uk/efo/EFO_0000795	0.818
http://purl.obolibrary.org/obo/CL_0001034	http://www.ebi.ac.uk/efo/EFO_0009013	0.376
http://purl.obolibrary.org/obo/CL_2000071	http://purl.obolibrary.org/obo/CL_0002451	0.675
http://purl.obolibrary.org/obo/PR_000001087	http://www.ebi.ac.uk/efo/EFO_0021980	0.524
http://purl.obolibrary.org/obo/UBERON_0003923	http://purl.obolibrary.org/obo/ZFA_0001369	0.864
http://purl.obolibrary.org/obo/GO_0019199	http://www.ebi.ac.uk/efo/EFO_0020831	0.67
http://purl.obolibrary.org/obo/UBERON_0002490	http://purl.obolibrary.org/obo/UBERON_0016525	0.553
http://purl.obolibrary.org/obo/CL_0000132	http://purl.obolibrary.org/obo/BTO_0004298	0.792
http://purl.obolibrary.org/obo/UBERON_0001152	http://www.ebi.ac.uk/efo/EFO_1000585	0.537
http://purl.obolibrary.org/obo/UBERON_0003086	http://purl.obolibrary.org/obo/MONDO_0011928	0.512
http://purl.obolibrary.org/obo/GO_0060456	http://purl.obolibrary.org/obo/GO_0044058	0.814
