SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/GO_0046717	http://purl.obolibrary.org/obo/mesh_D013400	0.648
http://purl.obolibrary.org/obo/PR_000001460	http://purl.obolibrary.org/obo/mesh_C068246	0.663
http://purl.obolibrary.org/obo/GO_0004883	http://purl.obolibrary.org/obo/mesh_C000726158	0.681
http://purl.obolibrary.org/obo/GO_0051234	http://purl.obolibrary.org/obo/mesh_C434144	0.546
http://purl.obolibrary.org/obo/PR_000003499	http://purl.obolibrary.org/obo/mesh_D019926	0.678
http://purl.obolibrary.org/obo/GO_0006403	http://purl.obolibrary.org/obo/mesh_D020871	0.761
http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/mesh_D001402	0.748
http://purl.obolibrary.org/obo/GO_0007611	http://purl.obolibrary.org/obo/mesh_D000094363	0.727
http://purl.obolibrary.org/obo/GO_0007566	http://purl.obolibrary.org/obo/mesh_D019928	0.718
http://purl.obolibrary.org/obo/GO_0009914	http://purl.obolibrary.org/obo/mesh_C042645	0.826
http://purl.obolibrary.org/obo/PR_000040662	http://purl.obolibrary.org/obo/mesh_C114583	0.574
http://purl.obolibrary.org/obo/PR_000012526	http://purl.obolibrary.org/obo/mesh_C414283	0.688
http://purl.obolibrary.org/obo/UBERON_0002522	http://purl.obolibrary.org/obo/mesh_D017539	0.822
http://purl.obolibrary.org/obo/UBERON_0002038	http://purl.obolibrary.org/obo/mesh_D013378	0.78
http://purl.obolibrary.org/obo/UBERON_0003103	http://purl.obolibrary.org/obo/mesh_D004339	0.581
http://purl.obolibrary.org/obo/UBERON_0011594	http://purl.obolibrary.org/obo/mesh_C091833	0.802
http://purl.obolibrary.org/obo/CL_0000100	http://purl.obolibrary.org/obo/mesh_D009046	0.863
http://purl.obolibrary.org/obo/GO_0016064	http://purl.obolibrary.org/obo/mesh_C095114	0.8
http://purl.obolibrary.org/obo/GO_0001787	http://purl.obolibrary.org/obo/mesh_D055611	0.864
http://purl.obolibrary.org/obo/UBERON_0006004	http://purl.obolibrary.org/obo/mesh_D045170	0.621
http://purl.obolibrary.org/obo/GO_0050657	http://purl.obolibrary.org/obo/mesh_D061925	0.669
http://purl.obolibrary.org/obo/PR_000009143	http://purl.obolibrary.org/obo/mesh_D000071557	0.734
http://purl.obolibrary.org/obo/GO_0090304	http://purl.obolibrary.org/obo/mesh_D009693	0.724
