SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/DOID_7736	http://purl.obolibrary.org/obo/HP_0007763	0.933
http://purl.obolibrary.org/obo/DOID_4960	http://purl.obolibrary.org/obo/CL_0010001	0.677
http://purl.obolibrary.org/obo/DOID_0080347	http://purl.obolibrary.org/obo/HP_0006737	0.852
http://purl.obolibrary.org/obo/DOID_8781	http://purl.obolibrary.org/obo/HP_0020089	0.635
http://purl.obolibrary.org/obo/DOID_0060159	http://purl.obolibrary.org/obo/HP_0001992	0.742
http://purl.obolibrary.org/obo/DOID_512	http://purl.obolibrary.org/obo/HP_0030421	0.892
http://purl.obolibrary.org/obo/DOID_7515	http://purl.obolibrary.org/obo/UBERON_0002792	0.782
http://purl.obolibrary.org/obo/DOID_2497	http://purl.obolibrary.org/obo/HP_0000683	0.634
http://purl.obolibrary.org/obo/DOID_8442	http://purl.obolibrary.org/obo/HP_0002590	0.958
http://purl.obolibrary.org/obo/DOID_8564	http://purl.obolibrary.org/obo/HP_0100604	0.77
http://purl.obolibrary.org/obo/DOID_12661	http://purl.obolibrary.org/obo/HP_0033791	0.912
http://purl.obolibrary.org/obo/DOID_4613	http://purl.obolibrary.org/obo/HP_0012181	0.653
http://purl.obolibrary.org/obo/DOID_4370	http://purl.obolibrary.org/obo/HP_0005222	0.784
http://purl.obolibrary.org/obo/DOID_7177	http://purl.obolibrary.org/obo/HP_0030438	0.941
http://purl.obolibrary.org/obo/DOID_866	http://purl.obolibrary.org/obo/UBERON_0009887	0.64
http://purl.obolibrary.org/obo/DOID_13999	http://purl.obolibrary.org/obo/NBO_0000616	0.719
http://purl.obolibrary.org/obo/DOID_5642	http://purl.obolibrary.org/obo/HP_0032990	0.791
http://purl.obolibrary.org/obo/DOID_4961	http://purl.obolibrary.org/obo/UBERON_0002371	0.782
http://purl.obolibrary.org/obo/DOID_0050852	http://purl.obolibrary.org/obo/HP_0033401	0.706
http://purl.obolibrary.org/obo/DOID_9252	http://purl.obolibrary.org/obo/HP_0004337	0.677
http://purl.obolibrary.org/obo/DOID_0080741	http://purl.obolibrary.org/obo/UBERON_0002600	0.634
http://purl.obolibrary.org/obo/DOID_12642	http://purl.obolibrary.org/obo/HP_0002036	0.916
http://purl.obolibrary.org/obo/DOID_5568	http://purl.obolibrary.org/obo/HP_0030741	0.879
http://purl.obolibrary.org/obo/DOID_0060184	http://purl.obolibrary.org/obo/HP_0100282	0.696
http://purl.obolibrary.org/obo/DOID_11371	http://purl.obolibrary.org/obo/PATO_0001510	0.647
http://purl.obolibrary.org/obo/DOID_0060850	http://purl.obolibrary.org/obo/HP_0001734	0.931
http://purl.obolibrary.org/obo/DOID_5214	http://purl.obolibrary.org/obo/HP_0007108	0.797
http://purl.obolibrary.org/obo/DOID_1618	http://purl.obolibrary.org/obo/HP_0010619	0.728
http://purl.obolibrary.org/obo/DOID_7608	http://purl.obolibrary.org/obo/HP_0002897	0.948
http://purl.obolibrary.org/obo/DOID_2216	http://purl.obolibrary.org/obo/HP_0003225	0.82
http://purl.obolibrary.org/obo/DOID_5082	http://purl.obolibrary.org/obo/HP_0001394	0.813
