SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/DOID_0060158	http://purl.obolibrary.org/obo/MONDO_0006504	0.94
http://purl.obolibrary.org/obo/DOID_0081334	http://purl.obolibrary.org/obo/MONDO_0013523	0.912
http://purl.obolibrary.org/obo/DOID_252	http://purl.obolibrary.org/obo/MONDO_0002330	0.964
http://purl.obolibrary.org/obo/DOID_0112100	http://purl.obolibrary.org/obo/MONDO_0100134	0.93
http://purl.obolibrary.org/obo/DOID_2219	http://purl.obolibrary.org/obo/MONDO_0031332	0.909
http://purl.obolibrary.org/obo/DOID_0111226	http://purl.obolibrary.org/obo/MONDO_0010365	0.872
http://purl.obolibrary.org/obo/DOID_9749	http://purl.obolibrary.org/obo/MONDO_0004873	0.96
http://purl.obolibrary.org/obo/DOID_4613	http://purl.obolibrary.org/obo/MONDO_0007006	0.944
http://purl.obolibrary.org/obo/DOID_0111989	http://purl.obolibrary.org/obo/MONDO_0012682	0.947
http://purl.obolibrary.org/obo/DOID_7656	http://purl.obolibrary.org/obo/MONDO_0004320	0.97
http://purl.obolibrary.org/obo/DOID_3426	http://purl.obolibrary.org/obo/MONDO_0002643	0.938
http://purl.obolibrary.org/obo/DOID_1910	http://purl.obolibrary.org/obo/MONDO_0002143	0.96
http://purl.obolibrary.org/obo/DOID_12984	http://purl.obolibrary.org/obo/MONDO_0001608	0.959
http://purl.obolibrary.org/obo/DOID_0070189	http://purl.obolibrary.org/obo/MONDO_0056795	0.909
http://purl.obolibrary.org/obo/DOID_0111761	http://purl.obolibrary.org/obo/MONDO_0100250	0.955
http://purl.obolibrary.org/obo/DOID_0060248	http://purl.obolibrary.org/obo/MONDO_0020602	0.863
http://purl.obolibrary.org/obo/DOID_4464	http://purl.obolibrary.org/obo/MONDO_0005220	0.971
http://purl.obolibrary.org/obo/DOID_2575	http://purl.obolibrary.org/obo/MONDO_0002347	0.974
http://purl.obolibrary.org/obo/DOID_0110832	http://purl.obolibrary.org/obo/MONDO_0011186	0.899
http://purl.obolibrary.org/obo/DOID_670	http://purl.obolibrary.org/obo/MONDO_0003969	0.974
http://purl.obolibrary.org/obo/DOID_0111340	http://purl.obolibrary.org/obo/MONDO_0014720	0.902
http://purl.obolibrary.org/obo/DOID_3855	http://purl.obolibrary.org/obo/MONDO_0002790	0.964
http://purl.obolibrary.org/obo/DOID_9620	http://purl.obolibrary.org/obo/MONDO_0006007	0.958
http://purl.obolibrary.org/obo/DOID_9452	http://purl.obolibrary.org/obo/MONDO_0004790	0.94
http://purl.obolibrary.org/obo/DOID_0070151	http://purl.obolibrary.org/obo/MONDO_0013839	0.947
http://purl.obolibrary.org/obo/DOID_0070227	http://purl.obolibrary.org/obo/MONDO_0100429	0.955
http://purl.obolibrary.org/obo/DOID_0060121	http://purl.obolibrary.org/obo/MONDO_0000652	0.952
http://purl.obolibrary.org/obo/DOID_5940	http://purl.obolibrary.org/obo/MONDO_0017827	0.965
