SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/MONDO_0008559	http://purl.obolibrary.org/obo/mesh_C566057	0.802
http://www.ebi.ac.uk/efo/EFO_0007262	http://purl.obolibrary.org/obo/mesh_C564607	0.878
http://www.ebi.ac.uk/efo/EFO_0005932	http://purl.obolibrary.org/obo/mesh_D000820	0.927
http://purl.obolibrary.org/obo/HP_0001270	http://purl.obolibrary.org/obo/mesh_D009048	0.769
http://purl.obolibrary.org/obo/NCBITaxon_11099	http://purl.obolibrary.org/obo/mesh_C076551	0.944
http://www.ebi.ac.uk/efo/EFO_0001064	http://purl.obolibrary.org/obo/mesh_D004314	0.937
http://purl.obolibrary.org/obo/UBERON_0001911	http://purl.obolibrary.org/obo/mesh_D008323	0.866
http://www.ebi.ac.uk/efo/EFO_0002827	http://purl.obolibrary.org/obo/mesh_C426625	0.667
http://purl.obolibrary.org/obo/CHEBI_16914	http://purl.obolibrary.org/obo/mesh_D020156	0.875
http://purl.obolibrary.org/obo/MONDO_0007417	http://purl.obolibrary.org/obo/mesh_D007644	0.917
http://www.ebi.ac.uk/efo/EFO_0021928	http://purl.obolibrary.org/obo/mesh_D000072224	0.656
http://purl.obolibrary.org/obo/NCBITaxon_1270	http://purl.obolibrary.org/obo/mesh_D016982	0.946
http://www.ebi.ac.uk/efo/EFO_1001176	http://purl.obolibrary.org/obo/mesh_C537845	0.898
http://www.ebi.ac.uk/efo/EFO_0005222	http://purl.obolibrary.org/obo/mesh_D055761	0.821
http://purl.obolibrary.org/obo/CHEBI_37684	http://purl.obolibrary.org/obo/mesh_D008358	0.808
http://purl.obolibrary.org/obo/CHEBI_3139	http://purl.obolibrary.org/obo/mesh_C040482	0.8
http://purl.obolibrary.org/obo/CHEBI_48432	http://purl.obolibrary.org/obo/mesh_D000804	0.885
http://purl.obolibrary.org/obo/UBERON_0005523	http://purl.obolibrary.org/obo/mesh_C110632	0.658
http://purl.obolibrary.org/obo/CHEBI_5931	http://purl.obolibrary.org/obo/mesh_C034329	0.84
http://www.ebi.ac.uk/efo/EFO_0007460	http://purl.obolibrary.org/obo/mesh_D016918	0.829
http://www.ebi.ac.uk/efo/EFO_0020990	http://purl.obolibrary.org/obo/mesh_C020213	0.776
http://www.ebi.ac.uk/efo/EFO_0002085	http://purl.obolibrary.org/obo/mesh_C582305	0.654
http://www.ebi.ac.uk/efo/EFO_0002242	http://purl.obolibrary.org/obo/mesh_C089164	0.642
http://purl.obolibrary.org/obo/NCBITaxon_3311	http://purl.obolibrary.org/obo/mesh_D020441	0.936
http://www.ebi.ac.uk/efo/EFO_1001347	http://purl.obolibrary.org/obo/mesh_D006560	0.952
http://purl.obolibrary.org/obo/MONDO_0010204	http://purl.obolibrary.org/obo/mesh_C531854	0.917
http://purl.obolibrary.org/obo/MONDO_0012143	http://purl.obolibrary.org/obo/mesh_C563840	0.696
http://purl.obolibrary.org/obo/CHEBI_72663	http://purl.obolibrary.org/obo/mesh_C094071	0.728
http://purl.obolibrary.org/obo/MONDO_0013005	http://purl.obolibrary.org/obo/mesh_C557674	0.731
http://purl.obolibrary.org/obo/OBI_0000711	http://purl.obolibrary.org/obo/mesh_D007998	0.752
http://purl.obolibrary.org/obo/MONDO_0003832	http://purl.obolibrary.org/obo/mesh_D000081208	0.813
http://www.ebi.ac.uk/efo/EFO_0004637	http://purl.obolibrary.org/obo/mesh_D017293	0.672
http://www.ebi.ac.uk/efo/EFO_0007260	http://purl.obolibrary.org/obo/mesh_D020802	0.941
http://www.ebi.ac.uk/efo/EFO_0000494	http://purl.obolibrary.org/obo/mesh_D012690	0.666
http://purl.obolibrary.org/obo/NCBITaxon_40370	http://purl.obolibrary.org/obo/mesh_C000664765	0.819
http://www.ebi.ac.uk/efo/EFO_0802385	http://purl.obolibrary.org/obo/mesh_C038718	0.742
http://www.ebi.ac.uk/efo/EFO_0020119	http://purl.obolibrary.org/obo/mesh_D000090822	0.847
http://www.ebi.ac.uk/efo/EFO_0007972	http://purl.obolibrary.org/obo/mesh_D000735	0.725
http://purl.obolibrary.org/obo/MONDO_0019234	http://purl.obolibrary.org/obo/mesh_C536664	0.826
http://purl.obolibrary.org/obo/MONDO_0016587	http://purl.obolibrary.org/obo/mesh_C566255	0.9
http://purl.obolibrary.org/obo/NCBITaxon_362338	http://purl.obolibrary.org/obo/mesh_C000673201	0.881
http://purl.obolibrary.org/obo/NCBITaxon_208964	http://purl.obolibrary.org/obo/mesh_C085113	0.892
http://purl.obolibrary.org/obo/NCBITaxon_2001	http://purl.obolibrary.org/obo/mesh_C000638559	0.957
http://purl.obolibrary.org/obo/MONDO_0011399	http://purl.obolibrary.org/obo/mesh_D017085	0.881
http://www.ebi.ac.uk/efo/EFO_0009055	http://purl.obolibrary.org/obo/mesh_C567453	0.915
http://purl.obolibrary.org/obo/CHEBI_63038	http://purl.obolibrary.org/obo/mesh_C006568	0.974
http://purl.obolibrary.org/obo/CHEBI_15366	http://purl.obolibrary.org/obo/mesh_D019342	0.895
http://www.ebi.ac.uk/efo/EFO_0003857	http://purl.obolibrary.org/obo/mesh_D001176	0.935
http://purl.obolibrary.org/obo/NCBITaxon_7029	http://purl.obolibrary.org/obo/mesh_C000652105	0.709
http://purl.obolibrary.org/obo/NCBITaxon_43256	http://purl.obolibrary.org/obo/mesh_C000646291	0.797
http://www.ebi.ac.uk/efo/EFO_0007261	http://purl.obolibrary.org/obo/mesh_D004826	0.929
http://purl.obolibrary.org/obo/NCBITaxon_5141	http://purl.obolibrary.org/obo/mesh_D009492	0.961
http://purl.obolibrary.org/obo/MONDO_0007700	http://purl.obolibrary.org/obo/mesh_C535845	0.921
http://purl.obolibrary.org/obo/MONDO_0018768	http://purl.obolibrary.org/obo/mesh_C567090	0.921
http://purl.obolibrary.org/obo/NCBITaxon_5057	http://purl.obolibrary.org/obo/mesh_C000662345	0.958
http://purl.obolibrary.org/obo/NCBITaxon_45596	http://purl.obolibrary.org/obo/mesh_C000681495	0.788
http://purl.obolibrary.org/obo/MONDO_0011628	http://purl.obolibrary.org/obo/mesh_D056693	0.936
http://purl.obolibrary.org/obo/MONDO_0002580	http://purl.obolibrary.org/obo/mesh_C537605	0.77
http://purl.obolibrary.org/obo/CHEBI_30145	http://purl.obolibrary.org/obo/mesh_C028467	0.927
http://purl.obolibrary.org/obo/MONDO_0100133	http://purl.obolibrary.org/obo/mesh_C537475	0.931
http://purl.obolibrary.org/obo/MONDO_0008877	http://purl.obolibrary.org/obo/mesh_C536239	0.933
http://purl.obolibrary.org/obo/NCBITaxon_77205	http://purl.obolibrary.org/obo/mesh_C000676682	0.968
http://purl.obolibrary.org/obo/NCBITaxon_83332	http://purl.obolibrary.org/obo/mesh_C000641980	0.905
http://purl.obolibrary.org/obo/MONDO_0016296	http://purl.obolibrary.org/obo/mesh_D016142	0.932
http://www.ebi.ac.uk/efo/EFO_0021161	http://purl.obolibrary.org/obo/mesh_C023006	0.847
http://purl.obolibrary.org/obo/NCBITaxon_5067	http://purl.obolibrary.org/obo/mesh_C000662548	0.96
http://www.ebi.ac.uk/efo/EFO_0802069	http://purl.obolibrary.org/obo/mesh_C560221	0.649
http://purl.obolibrary.org/obo/MONDO_0000995	http://purl.obolibrary.org/obo/mesh_D010245	0.817
