SrcEntity	TgtEntity	Score
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_977	http://purl.obolibrary.org/obo/mesh_C000593571	0.478
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_6	http://purl.obolibrary.org/obo/mesh_C045333	0.627
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_227	http://purl.obolibrary.org/obo/mesh_C077823	0.579
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_402	http://purl.obolibrary.org/obo/mesh_C559990	0.559
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_35	http://purl.obolibrary.org/obo/mesh_C488052	0.618
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_2	http://purl.obolibrary.org/obo/mesh_D064032	0.684
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_46	http://purl.obolibrary.org/obo/mesh_C091211	0.774
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_110	http://purl.obolibrary.org/obo/mesh_C519800	0.569
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_94	http://purl.obolibrary.org/obo/mesh_C119987	0.602
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_4	http://purl.obolibrary.org/obo/mesh_C058046	0.622
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_645	http://purl.obolibrary.org/obo/mesh_C467319	0.527
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_26	http://purl.obolibrary.org/obo/mesh_C080620	0.587
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_3	http://purl.obolibrary.org/obo/mesh_C006524	0.695
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_816	http://purl.obolibrary.org/obo/mesh_C083155	0.578
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_400	http://purl.obolibrary.org/obo/mesh_C101847	0.584
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_64	http://purl.obolibrary.org/obo/mesh_C053584	0.599
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_24	http://purl.obolibrary.org/obo/mesh_C513348	0.535
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_45	http://purl.obolibrary.org/obo/mesh_C401223	0.597
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_363	http://purl.obolibrary.org/obo/mesh_C103891	0.478
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#gene_with_no_protein_product	http://purl.obolibrary.org/obo/mesh_C114721	0.59
http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_13	http://purl.obolibrary.org/obo/mesh_C112842	0.712
