SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/mesh_C567028	http://purl.obolibrary.org/obo/DOID_0080280	0.796
http://purl.obolibrary.org/obo/mesh_C564559	http://purl.obolibrary.org/obo/DOID_4756	0.909
http://purl.obolibrary.org/obo/mesh_C565234	http://purl.obolibrary.org/obo/DOID_0110889	0.92
http://purl.obolibrary.org/obo/mesh_D020786	http://purl.obolibrary.org/obo/DOID_501	0.801
http://purl.obolibrary.org/obo/mesh_D014525	http://purl.obolibrary.org/obo/DOID_1829	0.927
http://purl.obolibrary.org/obo/mesh_C563596	http://purl.obolibrary.org/obo/DOID_6994	0.811
http://purl.obolibrary.org/obo/mesh_C566719	http://purl.obolibrary.org/obo/DOID_0081024	0.942
http://purl.obolibrary.org/obo/mesh_C537535	http://purl.obolibrary.org/obo/DOID_4922	0.934
http://purl.obolibrary.org/obo/mesh_D001988	http://purl.obolibrary.org/obo/DOID_2942	0.912
http://purl.obolibrary.org/obo/mesh_C557818	http://purl.obolibrary.org/obo/DOID_0060382	0.743
http://purl.obolibrary.org/obo/mesh_C565327	http://purl.obolibrary.org/obo/DOID_0110329	0.934
http://purl.obolibrary.org/obo/mesh_C567842	http://purl.obolibrary.org/obo/DOID_0110653	0.95
http://purl.obolibrary.org/obo/mesh_D000071960	http://purl.obolibrary.org/obo/DOID_8791	0.916
http://purl.obolibrary.org/obo/mesh_D000303	http://purl.obolibrary.org/obo/DOID_3952	0.928
http://purl.obolibrary.org/obo/mesh_D018068	http://purl.obolibrary.org/obo/DOID_0050192	0.826
http://purl.obolibrary.org/obo/mesh_D000077207	http://purl.obolibrary.org/obo/DOID_5867	0.903
http://purl.obolibrary.org/obo/mesh_C563538	http://purl.obolibrary.org/obo/DOID_0110454	0.873
http://purl.obolibrary.org/obo/mesh_D020936	http://purl.obolibrary.org/obo/DOID_14777	0.934
http://purl.obolibrary.org/obo/mesh_D015324	http://purl.obolibrary.org/obo/DOID_3651	0.943
http://purl.obolibrary.org/obo/mesh_D004700	http://purl.obolibrary.org/obo/DOID_28	0.893
http://purl.obolibrary.org/obo/mesh_D013981	http://purl.obolibrary.org/obo/DOID_2769	0.928
http://purl.obolibrary.org/obo/mesh_C564634	http://purl.obolibrary.org/obo/DOID_0110551	0.868
http://purl.obolibrary.org/obo/mesh_D053613	http://purl.obolibrary.org/obo/DOID_0060008	0.763
http://purl.obolibrary.org/obo/mesh_D031300	http://purl.obolibrary.org/obo/DOID_11563	0.95
http://purl.obolibrary.org/obo/mesh_C567832	http://purl.obolibrary.org/obo/DOID_0070173	0.894
http://purl.obolibrary.org/obo/mesh_C000705207	http://purl.obolibrary.org/obo/DOID_2580	0.879
http://purl.obolibrary.org/obo/mesh_C537514	http://purl.obolibrary.org/obo/DOID_3720	0.719
http://purl.obolibrary.org/obo/mesh_D006104	http://purl.obolibrary.org/obo/DOID_9369	0.774
http://purl.obolibrary.org/obo/mesh_C567847	http://purl.obolibrary.org/obo/DOID_0112123	0.79
http://purl.obolibrary.org/obo/mesh_D017492	http://purl.obolibrary.org/obo/DOID_6498	0.829
http://purl.obolibrary.org/obo/mesh_C564633	http://purl.obolibrary.org/obo/DOID_0110480	0.868
http://purl.obolibrary.org/obo/mesh_C565253	http://purl.obolibrary.org/obo/DOID_0070339	0.685
http://purl.obolibrary.org/obo/mesh_C535494	http://purl.obolibrary.org/obo/DOID_0080988	0.891
http://purl.obolibrary.org/obo/mesh_D054098	http://purl.obolibrary.org/obo/DOID_9771	0.818
http://purl.obolibrary.org/obo/mesh_D006848	http://purl.obolibrary.org/obo/DOID_9912	0.812
