SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/DOID_0060158	http://purl.obolibrary.org/obo/MONDO_0016105	0.775
http://purl.obolibrary.org/obo/DOID_0081334	http://purl.obolibrary.org/obo/MONDO_0013523	0.775
http://purl.obolibrary.org/obo/DOID_252	http://purl.obolibrary.org/obo/MONDO_0006730	0.775
http://purl.obolibrary.org/obo/DOID_0070228	http://purl.obolibrary.org/obo/MONDO_0013995	0.775
http://purl.obolibrary.org/obo/DOID_0112100	http://purl.obolibrary.org/obo/MONDO_0015448	0.775
http://purl.obolibrary.org/obo/DOID_0112168	http://purl.obolibrary.org/obo/MONDO_0030058	0.775
http://purl.obolibrary.org/obo/DOID_2219	http://purl.obolibrary.org/obo/MONDO_0031332	0.775
http://purl.obolibrary.org/obo/DOID_0111226	http://purl.obolibrary.org/obo/MONDO_0054695	0.775
http://purl.obolibrary.org/obo/DOID_9749	http://purl.obolibrary.org/obo/MONDO_0004873	0.775
http://purl.obolibrary.org/obo/DOID_4613	http://purl.obolibrary.org/obo/MONDO_0005322	0.775
http://purl.obolibrary.org/obo/DOID_0111989	http://purl.obolibrary.org/obo/MONDO_0012682	0.775
http://purl.obolibrary.org/obo/DOID_7656	http://purl.obolibrary.org/obo/MONDO_0024797	0.775
http://purl.obolibrary.org/obo/DOID_3426	http://purl.obolibrary.org/obo/MONDO_0001728	0.775
http://purl.obolibrary.org/obo/DOID_4012	http://purl.obolibrary.org/obo/MONDO_0006474	0.775
http://purl.obolibrary.org/obo/DOID_1910	http://purl.obolibrary.org/obo/MONDO_0005744	0.775
http://purl.obolibrary.org/obo/DOID_0070276	http://purl.obolibrary.org/obo/MONDO_0013196	0.775
http://purl.obolibrary.org/obo/DOID_12984	http://purl.obolibrary.org/obo/MONDO_0001608	0.775
http://purl.obolibrary.org/obo/DOID_0070189	http://purl.obolibrary.org/obo/MONDO_0010647	0.775
http://purl.obolibrary.org/obo/DOID_0111761	http://purl.obolibrary.org/obo/MONDO_0060489	0.775
http://purl.obolibrary.org/obo/DOID_0070207	http://purl.obolibrary.org/obo/MONDO_0008073	0.775
http://purl.obolibrary.org/obo/NCBITaxon_29461	http://purl.obolibrary.org/obo/NCBITaxon_1	0.775
http://purl.obolibrary.org/obo/DOID_0060248	http://purl.obolibrary.org/obo/MONDO_0010265	0.775
http://purl.obolibrary.org/obo/DOID_4464	http://purl.obolibrary.org/obo/MONDO_0006260	0.775
http://purl.obolibrary.org/obo/DOID_2575	http://purl.obolibrary.org/obo/CHEBI_29745	0.775
http://purl.obolibrary.org/obo/DOID_0110832	http://purl.obolibrary.org/obo/MONDO_0011902	0.775
http://purl.obolibrary.org/obo/DOID_670	http://purl.obolibrary.org/obo/CHEBI_2679	0.775
http://purl.obolibrary.org/obo/DOID_0111340	http://purl.obolibrary.org/obo/MONDO_0013999	0.775
http://purl.obolibrary.org/obo/DOID_3855	http://purl.obolibrary.org/obo/MONDO_0004767	0.775
http://purl.obolibrary.org/obo/DOID_9620	http://purl.obolibrary.org/obo/MONDO_0006007	0.775
http://purl.obolibrary.org/obo/DOID_9452	http://purl.obolibrary.org/obo/MONDO_0009220	0.775
http://purl.obolibrary.org/obo/DOID_0111557	http://purl.obolibrary.org/obo/MONDO_0010099	0.775
http://purl.obolibrary.org/obo/DOID_6587	http://purl.obolibrary.org/obo/MONDO_0003936	0.775
http://purl.obolibrary.org/obo/DOID_0070151	http://purl.obolibrary.org/obo/MONDO_0019551	0.775
http://purl.obolibrary.org/obo/DOID_0060121	http://purl.obolibrary.org/obo/MONDO_0002051	0.775
http://purl.obolibrary.org/obo/DOID_5940	http://purl.obolibrary.org/obo/MONDO_0017827	0.775
