SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/GO_1905504	http://purl.obolibrary.org/obo/GO_1905505	0.906
http://purl.obolibrary.org/obo/HP_0004324	http://purl.obolibrary.org/obo/HP_0004325	0.858
http://purl.obolibrary.org/obo/UBERON_0004226	http://purl.obolibrary.org/obo/GO_0014831	0.727
http://purl.obolibrary.org/obo/GO_0042713	http://purl.obolibrary.org/obo/GO_0048240	0.762
http://purl.obolibrary.org/obo/MONDO_0043762	http://purl.obolibrary.org/obo/GO_0007565	0.669
http://purl.obolibrary.org/obo/UBERON_0002108	http://purl.obolibrary.org/obo/HP_0006266	0.671
http://purl.obolibrary.org/obo/MONDO_0019993	http://purl.obolibrary.org/obo/HP_0001920	0.884
http://purl.obolibrary.org/obo/MONDO_0004913	http://purl.obolibrary.org/obo/HP_0001137	0.948
http://purl.obolibrary.org/obo/UBERON_0013720	http://purl.obolibrary.org/obo/UBERON_0013719	0.745
http://purl.obolibrary.org/obo/GO_1905505	http://purl.obolibrary.org/obo/GO_1905503	0.918
http://purl.obolibrary.org/obo/MPATH_607	http://purl.obolibrary.org/obo/MPATH_175	0.675
http://purl.obolibrary.org/obo/GO_2000860	http://purl.obolibrary.org/obo/GO_2000858	0.855
http://purl.obolibrary.org/obo/MONDO_0002341	http://purl.obolibrary.org/obo/HP_0006679	0.741
http://purl.obolibrary.org/obo/GO_1901859	http://purl.obolibrary.org/obo/GO_1901860	0.905
http://purl.obolibrary.org/obo/MONDO_0015389	http://purl.obolibrary.org/obo/HP_0009934	0.716
http://purl.obolibrary.org/obo/MONDO_0015697	http://purl.obolibrary.org/obo/HP_0020195	0.786
http://purl.obolibrary.org/obo/MONDO_0018779	http://purl.obolibrary.org/obo/HP_0008969	0.71
http://purl.obolibrary.org/obo/MONDO_0003330	http://purl.obolibrary.org/obo/HP_0000809	0.871
http://purl.obolibrary.org/obo/UBERON_0005177	http://purl.obolibrary.org/obo/UBERON_0005174	0.832
http://purl.obolibrary.org/obo/MONDO_0017884	http://purl.obolibrary.org/obo/HP_0006766	0.96
http://purl.obolibrary.org/obo/UBERON_0003590	http://purl.obolibrary.org/obo/UBERON_0003592	0.815
http://purl.obolibrary.org/obo/HP_0040069	http://purl.obolibrary.org/obo/HP_0040070	0.931
http://purl.obolibrary.org/obo/MONDO_0018943	http://purl.obolibrary.org/obo/HP_0003715	0.909
http://purl.obolibrary.org/obo/GO_0051957	http://purl.obolibrary.org/obo/GO_0051955	0.931
http://purl.obolibrary.org/obo/UBERON_0011379	http://purl.obolibrary.org/obo/UBERON_0011380	0.848
http://purl.obolibrary.org/obo/MONDO_0001274	http://purl.obolibrary.org/obo/HP_0025271	0.636
http://purl.obolibrary.org/obo/MONDO_0800175	http://purl.obolibrary.org/obo/HP_0030149	0.947
http://purl.obolibrary.org/obo/MONDO_0008183	http://purl.obolibrary.org/obo/HP_0001734	0.919
http://purl.obolibrary.org/obo/HP_0003351	http://purl.obolibrary.org/obo/HP_0000848	0.756
http://purl.obolibrary.org/obo/UBERON_0002149	http://purl.obolibrary.org/obo/UBERON_0010125	0.854
http://purl.obolibrary.org/obo/UBERON_0011104	http://purl.obolibrary.org/obo/HP_0041121	0.912
http://purl.obolibrary.org/obo/GO_0051956	http://purl.obolibrary.org/obo/GO_0051957	0.939
http://purl.obolibrary.org/obo/MONDO_0017845	http://purl.obolibrary.org/obo/HP_0002497	0.906
http://purl.obolibrary.org/obo/UBERON_0013777	http://purl.obolibrary.org/obo/HP_0040211	0.726
http://purl.obolibrary.org/obo/MONDO_0002473	http://purl.obolibrary.org/obo/HP_0006706	0.79
http://purl.obolibrary.org/obo/UBERON_0014851	http://purl.obolibrary.org/obo/UBERON_0014852	0.931
http://purl.obolibrary.org/obo/HP_0008776	http://purl.obolibrary.org/obo/HP_0033836	0.833
http://purl.obolibrary.org/obo/GO_0009100	http://purl.obolibrary.org/obo/GO_0009101	0.732
http://purl.obolibrary.org/obo/MONDO_0022812	http://purl.obolibrary.org/obo/PR_000001338	0.688
http://purl.obolibrary.org/obo/GO_1905953	http://purl.obolibrary.org/obo/GO_1905954	0.897
http://purl.obolibrary.org/obo/MONDO_0001655	http://purl.obolibrary.org/obo/HP_0012043	0.858
http://purl.obolibrary.org/obo/MONDO_0100190	http://purl.obolibrary.org/obo/HP_0033116	0.814
http://purl.obolibrary.org/obo/UBERON_0036242	http://purl.obolibrary.org/obo/UBERON_0009953	0.826
http://purl.obolibrary.org/obo/MONDO_0006890	http://purl.obolibrary.org/obo/HP_0002897	0.89
http://purl.obolibrary.org/obo/MONDO_0000920	http://purl.obolibrary.org/obo/HP_0012126	0.917
http://purl.obolibrary.org/obo/HP_0031192	http://purl.obolibrary.org/obo/HP_0031193	0.894
http://purl.obolibrary.org/obo/GO_0002717	http://purl.obolibrary.org/obo/GO_0002715	0.928
http://purl.obolibrary.org/obo/UBERON_0014852	http://purl.obolibrary.org/obo/UBERON_0014851	0.949
http://purl.obolibrary.org/obo/GO_0010907	http://purl.obolibrary.org/obo/GO_0010906	0.896
http://purl.obolibrary.org/obo/HP_0001331	http://purl.obolibrary.org/obo/HP_4000138	0.841
http://purl.obolibrary.org/obo/UBERON_0004471	http://purl.obolibrary.org/obo/UBERON_0004470	0.889
http://purl.obolibrary.org/obo/GO_1905954	http://purl.obolibrary.org/obo/GO_1905953	0.889
http://purl.obolibrary.org/obo/GO_0009896	http://purl.obolibrary.org/obo/GO_0009894	0.888
http://purl.obolibrary.org/obo/UBERON_0004470	http://purl.obolibrary.org/obo/UBERON_0004471	0.885
http://purl.obolibrary.org/obo/ENVO_01001698	http://purl.obolibrary.org/obo/HP_0010696	0.791
http://purl.obolibrary.org/obo/GO_0006874	http://purl.obolibrary.org/obo/GO_0007036	0.922
http://purl.obolibrary.org/obo/GO_0010906	http://purl.obolibrary.org/obo/GO_0010907	0.865
http://purl.obolibrary.org/obo/HP_0003117	http://purl.obolibrary.org/obo/HP_0030345	0.859
http://purl.obolibrary.org/obo/GO_0098609	http://purl.obolibrary.org/obo/GO_0007155	0.845
http://purl.obolibrary.org/obo/UBERON_0008231	http://purl.obolibrary.org/obo/UBERON_0000915	0.861
http://purl.obolibrary.org/obo/GO_0019218	http://purl.obolibrary.org/obo/GO_0045940	0.902
http://purl.obolibrary.org/obo/HP_0030829	http://purl.obolibrary.org/obo/HP_0031994	0.655
http://purl.obolibrary.org/obo/MONDO_0006711	http://purl.obolibrary.org/obo/HP_0002563	0.949
http://purl.obolibrary.org/obo/GO_0045931	http://purl.obolibrary.org/obo/GO_0045930	0.895
http://purl.obolibrary.org/obo/GO_0032411	http://purl.obolibrary.org/obo/GO_0032409	0.895
http://purl.obolibrary.org/obo/GO_0042321	http://purl.obolibrary.org/obo/GO_0042322	0.932
http://purl.obolibrary.org/obo/UBERON_0011862	http://purl.obolibrary.org/obo/UBERON_0011861	0.778
http://purl.obolibrary.org/obo/UBERON_0010693	http://purl.obolibrary.org/obo/UBERON_0005650	0.893
http://purl.obolibrary.org/obo/MONDO_0007476	http://purl.obolibrary.org/obo/HP_0005679	0.792
http://purl.obolibrary.org/obo/MONDO_0013120	http://purl.obolibrary.org/obo/HP_0012245	0.777
http://purl.obolibrary.org/obo/GO_0032410	http://purl.obolibrary.org/obo/GO_0032411	0.888
http://purl.obolibrary.org/obo/UBERON_0011863	http://purl.obolibrary.org/obo/GO_0098643	0.766
http://purl.obolibrary.org/obo/UBERON_0000442	http://purl.obolibrary.org/obo/UBERON_0000443	0.891
http://purl.obolibrary.org/obo/UBERON_0015179	http://purl.obolibrary.org/obo/UBERON_0002329	0.754
http://purl.obolibrary.org/obo/UBERON_0004702	http://purl.obolibrary.org/obo/UBERON_0003489	0.864
http://purl.obolibrary.org/obo/MONDO_0010962	http://purl.obolibrary.org/obo/HP_0007447	0.846
http://purl.obolibrary.org/obo/UBERON_0034922	http://purl.obolibrary.org/obo/UBERON_0000477	0.747
http://purl.obolibrary.org/obo/UBERON_0012241	http://purl.obolibrary.org/obo/UBERON_0006565	0.827
http://purl.obolibrary.org/obo/HP_0003677	http://purl.obolibrary.org/obo/HP_0007017	0.752
http://purl.obolibrary.org/obo/GO_0009101	http://purl.obolibrary.org/obo/GO_0009100	0.707
http://purl.obolibrary.org/obo/CL_0002067	http://purl.obolibrary.org/obo/CL_0000171	0.669
http://purl.obolibrary.org/obo/HP_0030976	http://purl.obolibrary.org/obo/HP_0030977	0.831
http://purl.obolibrary.org/obo/UBERON_0003111	http://purl.obolibrary.org/obo/UBERON_0001677	0.687
http://purl.obolibrary.org/obo/HP_0000496	http://purl.obolibrary.org/obo/HP_0031785	0.741
http://purl.obolibrary.org/obo/UBERON_0005397	http://purl.obolibrary.org/obo/UBERON_0002092	0.88
http://purl.obolibrary.org/obo/PATO_0001739	http://purl.obolibrary.org/obo/PATO_0001294	0.842
http://purl.obolibrary.org/obo/UBERON_0000443	http://purl.obolibrary.org/obo/UBERON_0000442	0.881
http://purl.obolibrary.org/obo/GO_0051589	http://purl.obolibrary.org/obo/GO_0051590	0.913
http://purl.obolibrary.org/obo/UBERON_0002296	http://purl.obolibrary.org/obo/UBERON_0005602	0.748
http://purl.obolibrary.org/obo/GO_0045930	http://purl.obolibrary.org/obo/GO_0045931	0.898
http://purl.obolibrary.org/obo/GO_0051447	http://purl.obolibrary.org/obo/GO_0051446	0.912
http://purl.obolibrary.org/obo/UBERON_0003397	http://purl.obolibrary.org/obo/UBERON_0003332	0.743
http://purl.obolibrary.org/obo/MONDO_0016066	http://purl.obolibrary.org/obo/HP_0410277	0.674
http://purl.obolibrary.org/obo/GO_0002713	http://purl.obolibrary.org/obo/GO_0002712	0.9
http://purl.obolibrary.org/obo/MONDO_0008637	http://purl.obolibrary.org/obo/HP_0000193	0.943
http://purl.obolibrary.org/obo/MONDO_0020438	http://purl.obolibrary.org/obo/HP_0011995	0.885
http://purl.obolibrary.org/obo/UBERON_0006260	http://purl.obolibrary.org/obo/UBERON_0010215	0.74
http://purl.obolibrary.org/obo/HP_0012219	http://purl.obolibrary.org/obo/HP_0031286	0.777
http://purl.obolibrary.org/obo/CL_0002603	http://purl.obolibrary.org/obo/CL_0012000	0.715
http://purl.obolibrary.org/obo/GO_0051446	http://purl.obolibrary.org/obo/GO_0051447	0.91
http://purl.obolibrary.org/obo/MONDO_0100054	http://purl.obolibrary.org/obo/HP_0410148	0.928
http://purl.obolibrary.org/obo/GO_0045933	http://purl.obolibrary.org/obo/GO_0006937	0.887
http://purl.obolibrary.org/obo/UBERON_0004926	http://purl.obolibrary.org/obo/UBERON_0004988	0.807
http://purl.obolibrary.org/obo/UBERON_0005487	http://purl.obolibrary.org/obo/UBERON_0006002	0.771
http://purl.obolibrary.org/obo/CL_2000067	http://purl.obolibrary.org/obo/CL_2000066	0.919
http://purl.obolibrary.org/obo/UBERON_0007684	http://purl.obolibrary.org/obo/HP_0032003	0.623
http://purl.obolibrary.org/obo/HP_0002017	http://purl.obolibrary.org/obo/HP_0002018	0.826
http://purl.obolibrary.org/obo/UBERON_0001766	http://purl.obolibrary.org/obo/UBERON_0005638	0.807
http://purl.obolibrary.org/obo/CL_2000066	http://purl.obolibrary.org/obo/CL_2000067	0.893
http://purl.obolibrary.org/obo/MONDO_0021193	http://purl.obolibrary.org/obo/HP_0030063	0.964
http://purl.obolibrary.org/obo/GO_0045724	http://purl.obolibrary.org/obo/GO_1902017	0.919
http://purl.obolibrary.org/obo/MONDO_0001339	http://purl.obolibrary.org/obo/HP_0030242	0.95
http://purl.obolibrary.org/obo/MONDO_0000763	http://purl.obolibrary.org/obo/HP_0007755	0.759
http://purl.obolibrary.org/obo/MONDO_0004201	http://purl.obolibrary.org/obo/HP_0010627	0.788
http://purl.obolibrary.org/obo/MONDO_0006766	http://purl.obolibrary.org/obo/HP_0010521	0.946
http://purl.obolibrary.org/obo/UBERON_0003844	http://purl.obolibrary.org/obo/UBERON_0003845	0.892
http://purl.obolibrary.org/obo/UBERON_0001312	http://purl.obolibrary.org/obo/UBERON_0006355	0.874
http://purl.obolibrary.org/obo/UBERON_0003845	http://purl.obolibrary.org/obo/UBERON_0003844	0.935
http://purl.obolibrary.org/obo/HP_0004319	http://purl.obolibrary.org/obo/HP_0008163	0.844
http://purl.obolibrary.org/obo/GO_0002335	http://purl.obolibrary.org/obo/GO_0030183	0.751
http://purl.obolibrary.org/obo/UBERON_0036375	http://purl.obolibrary.org/obo/UBERON_0036376	0.871
http://purl.obolibrary.org/obo/MONDO_0005197	http://purl.obolibrary.org/obo/HP_0100521	0.781
http://purl.obolibrary.org/obo/MONDO_0100056	http://purl.obolibrary.org/obo/HP_0005535	0.738
http://purl.obolibrary.org/obo/MONDO_0004790	http://purl.obolibrary.org/obo/HP_0005237	0.622
http://purl.obolibrary.org/obo/GO_0046394	http://purl.obolibrary.org/obo/GO_0019752	0.889
http://purl.obolibrary.org/obo/MONDO_0008829	http://purl.obolibrary.org/obo/HP_0012281	0.94
http://purl.obolibrary.org/obo/UBERON_0036376	http://purl.obolibrary.org/obo/UBERON_0036375	0.919
http://purl.obolibrary.org/obo/GO_0043043	http://purl.obolibrary.org/obo/GO_0006518	0.749
http://purl.obolibrary.org/obo/UBERON_0002726	http://purl.obolibrary.org/obo/HP_0010873	0.764
http://purl.obolibrary.org/obo/UBERON_0004275	http://purl.obolibrary.org/obo/UBERON_0004276	0.901
http://purl.obolibrary.org/obo/UBERON_0004917	http://purl.obolibrary.org/obo/UBERON_0004916	0.7
http://purl.obolibrary.org/obo/MONDO_0005402	http://purl.obolibrary.org/obo/HP_0005526	0.961
http://purl.obolibrary.org/obo/GO_0051984	http://purl.obolibrary.org/obo/GO_0051985	0.893
http://purl.obolibrary.org/obo/MONDO_0004077	http://purl.obolibrary.org/obo/HP_0410275	0.665
http://purl.obolibrary.org/obo/GO_0045785	http://purl.obolibrary.org/obo/GO_0007162	0.855
http://purl.obolibrary.org/obo/GO_0046395	http://purl.obolibrary.org/obo/GO_0046394	0.915
http://purl.obolibrary.org/obo/MONDO_0020165	http://purl.obolibrary.org/obo/HP_0000537	0.708
http://purl.obolibrary.org/obo/UBERON_0004916	http://purl.obolibrary.org/obo/UBERON_0004590	0.669
