SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/GO_1903306	http://purl.obolibrary.org/obo/GO_1903305	0.785
http://purl.obolibrary.org/obo/GO_1905504	http://purl.obolibrary.org/obo/GO_1905505	0.872
http://purl.obolibrary.org/obo/CL_1000804	http://purl.obolibrary.org/obo/CL_1000616	0.817
http://purl.obolibrary.org/obo/UBERON_0003593	http://purl.obolibrary.org/obo/UBERON_0005178	0.765
http://purl.obolibrary.org/obo/GO_0051955	http://purl.obolibrary.org/obo/GO_0051957	0.834
http://purl.obolibrary.org/obo/GO_1903307	http://purl.obolibrary.org/obo/GO_1903306	0.79
http://purl.obolibrary.org/obo/GO_2000573	http://purl.obolibrary.org/obo/GO_0051054	0.896
http://purl.obolibrary.org/obo/GO_0021536	http://purl.obolibrary.org/obo/GO_0048852	0.639
http://purl.obolibrary.org/obo/GO_0051968	http://purl.obolibrary.org/obo/GO_0051966	0.895
http://purl.obolibrary.org/obo/UBERON_0008994	http://purl.obolibrary.org/obo/UBERON_0006931	0.825
http://purl.obolibrary.org/obo/GO_0032414	http://purl.obolibrary.org/obo/GO_0032412	0.892
http://purl.obolibrary.org/obo/CHEBI_76413	http://purl.obolibrary.org/obo/UBERON_0034873	0.687
http://purl.obolibrary.org/obo/GO_0060762	http://purl.obolibrary.org/obo/GO_0060687	0.732
http://purl.obolibrary.org/obo/PR_000001896	http://purl.obolibrary.org/obo/PR_Q9BZW8	0.812
http://purl.obolibrary.org/obo/CL_0009000	http://purl.obolibrary.org/obo/CL_0000741	0.751
http://purl.obolibrary.org/obo/UBERON_0005177	http://purl.obolibrary.org/obo/UBERON_0002355	0.824
http://purl.obolibrary.org/obo/CL_0000500	http://purl.obolibrary.org/obo/CL_0002258	0.728
http://purl.obolibrary.org/obo/UBERON_0003590	http://purl.obolibrary.org/obo/UBERON_0003592	0.777
http://purl.obolibrary.org/obo/UBERON_0013697	http://purl.obolibrary.org/obo/CL_1001599	0.781
http://purl.obolibrary.org/obo/GO_0060768	http://purl.obolibrary.org/obo/GO_0060782	0.731
http://purl.obolibrary.org/obo/GO_0060767	http://purl.obolibrary.org/obo/GO_0060781	0.777
http://purl.obolibrary.org/obo/UBERON_0003726	http://purl.obolibrary.org/obo/UBERON_0000961	0.764
http://purl.obolibrary.org/obo/GO_0022012	http://purl.obolibrary.org/obo/GO_0021846	0.742
