SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/GO_0003677	http://purl.obolibrary.org/obo/mesh_D004268	0.796
http://purl.obolibrary.org/obo/PR_Q62226	http://purl.obolibrary.org/obo/mesh_C544324	0.635
http://purl.obolibrary.org/obo/PR_000001460	http://purl.obolibrary.org/obo/mesh_C093165	0.737
http://purl.obolibrary.org/obo/PR_P53566	http://purl.obolibrary.org/obo/mesh_C488945	0.734
http://purl.obolibrary.org/obo/PR_P01101	http://purl.obolibrary.org/obo/mesh_D016760	0.677
http://purl.obolibrary.org/obo/UBERON_0001998	http://purl.obolibrary.org/obo/mesh_D013248	0.81
http://purl.obolibrary.org/obo/GO_1903544	http://purl.obolibrary.org/obo/mesh_C010893	0.703
http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/mesh_D001402	0.761
http://purl.obolibrary.org/obo/CHEBI_67200	http://purl.obolibrary.org/obo/mesh_C008999	0.771
http://purl.obolibrary.org/obo/UBERON_0002038	http://purl.obolibrary.org/obo/mesh_D013378	0.893
http://purl.obolibrary.org/obo/PR_P04370	http://purl.obolibrary.org/obo/mesh_C094241	0.802
http://purl.obolibrary.org/obo/GO_0045852	http://purl.obolibrary.org/obo/mesh_C517786	0.687
http://purl.obolibrary.org/obo/GO_0016064	http://purl.obolibrary.org/obo/mesh_C013256	0.707
http://purl.obolibrary.org/obo/GO_0045851	http://purl.obolibrary.org/obo/mesh_D040261	0.709
http://purl.obolibrary.org/obo/CHEBI_33256	http://purl.obolibrary.org/obo/mesh_C545053	0.758
http://purl.obolibrary.org/obo/NBO_0000132	http://purl.obolibrary.org/obo/mesh_D060766	0.884
http://purl.obolibrary.org/obo/UBERON_2000157	http://purl.obolibrary.org/obo/mesh_D060149	0.652
http://purl.obolibrary.org/obo/CHEBI_76971	http://purl.obolibrary.org/obo/mesh_D054307	0.747
http://purl.obolibrary.org/obo/UBERON_0000950	http://purl.obolibrary.org/obo/mesh_C000677466	0.803
http://purl.obolibrary.org/obo/UBERON_3000955	http://purl.obolibrary.org/obo/mesh_C109270	0.789
http://purl.obolibrary.org/obo/UBERON_3000002	http://purl.obolibrary.org/obo/mesh_C016975	0.518
http://purl.obolibrary.org/obo/GO_0016787	http://purl.obolibrary.org/obo/mesh_C077242	0.746
http://purl.obolibrary.org/obo/UBERON_2001805	http://purl.obolibrary.org/obo/mesh_D057072	0.734
http://purl.obolibrary.org/obo/GO_0005585	http://purl.obolibrary.org/obo/mesh_D024043	0.728
http://purl.obolibrary.org/obo/PR_Q90722	http://purl.obolibrary.org/obo/mesh_C052888	0.795
http://purl.obolibrary.org/obo/GO_0060032	http://purl.obolibrary.org/obo/mesh_D012043	0.741
http://purl.obolibrary.org/obo/UBERON_3000954	http://purl.obolibrary.org/obo/mesh_C580755	0.8
http://purl.obolibrary.org/obo/GO_0007135	http://purl.obolibrary.org/obo/mesh_D050861	0.73
http://purl.obolibrary.org/obo/UBERON_4200223	http://purl.obolibrary.org/obo/mesh_C060542	0.634
http://purl.obolibrary.org/obo/UBERON_0019284	http://purl.obolibrary.org/obo/mesh_C110708	0.657
http://purl.obolibrary.org/obo/UBERON_0004609	http://purl.obolibrary.org/obo/mesh_C111216	0.659
http://purl.obolibrary.org/obo/CHEBI_17026	http://purl.obolibrary.org/obo/mesh_D011374	0.882
http://purl.obolibrary.org/obo/PR_000025796	http://purl.obolibrary.org/obo/mesh_D039001	0.837
http://purl.obolibrary.org/obo/UBERON_0000450	http://purl.obolibrary.org/obo/mesh_C000661730	0.714
http://purl.obolibrary.org/obo/GO_0001553	http://purl.obolibrary.org/obo/mesh_D034461	0.885
http://purl.obolibrary.org/obo/GO_0140096	http://purl.obolibrary.org/obo/mesh_C080086	0.638
http://purl.obolibrary.org/obo/GO_0042060	http://purl.obolibrary.org/obo/mesh_D014945	0.862
http://purl.obolibrary.org/obo/PR_P02786	http://purl.obolibrary.org/obo/mesh_C063997	0.688
http://purl.obolibrary.org/obo/UBERON_0005746	http://purl.obolibrary.org/obo/mesh_D054514	0.527
http://purl.obolibrary.org/obo/GO_0005604	http://purl.obolibrary.org/obo/mesh_D001485	0.924
http://purl.obolibrary.org/obo/GO_0099503	http://purl.obolibrary.org/obo/mesh_D022142	0.834
http://purl.obolibrary.org/obo/UBERON_0035109	http://purl.obolibrary.org/obo/mesh_D000069262	0.663
http://purl.obolibrary.org/obo/CHEBI_18248	http://purl.obolibrary.org/obo/mesh_D007501	0.878
http://purl.obolibrary.org/obo/CHEBI_24866	http://purl.obolibrary.org/obo/mesh_D012492	0.711
http://purl.obolibrary.org/obo/UBERON_0013218	http://purl.obolibrary.org/obo/mesh_C000685654	0.616
http://purl.obolibrary.org/obo/UBERON_0004572	http://purl.obolibrary.org/obo/mesh_D007269	0.76
http://purl.obolibrary.org/obo/UBERON_2000212	http://purl.obolibrary.org/obo/mesh_C043991	0.623
http://purl.obolibrary.org/obo/UBERON_0006724	http://purl.obolibrary.org/obo/mesh_D013137	0.756
http://purl.obolibrary.org/obo/GO_0045637	http://purl.obolibrary.org/obo/mesh_D053594	0.68
http://purl.obolibrary.org/obo/CHEBI_45696	http://purl.obolibrary.org/obo/mesh_C011085	0.526
http://purl.obolibrary.org/obo/UBERON_2000727	http://purl.obolibrary.org/obo/mesh_C091185	0.689
http://purl.obolibrary.org/obo/UBERON_0007799	http://purl.obolibrary.org/obo/mesh_D003818	0.833
http://purl.obolibrary.org/obo/UBERON_0012477	http://purl.obolibrary.org/obo/mesh_C567524	0.75
http://purl.obolibrary.org/obo/UBERON_4300091	http://purl.obolibrary.org/obo/mesh_C079472	0.74
http://purl.obolibrary.org/obo/UBERON_0006725	http://purl.obolibrary.org/obo/mesh_D055493	0.853
http://purl.obolibrary.org/obo/CL_0002063	http://purl.obolibrary.org/obo/mesh_C072676	0.684
http://purl.obolibrary.org/obo/UBERON_0002337	http://purl.obolibrary.org/obo/mesh_D018203	0.719
http://purl.obolibrary.org/obo/UBERON_2000853	http://purl.obolibrary.org/obo/mesh_C488613	0.593
http://purl.obolibrary.org/obo/CHEBI_142163	http://purl.obolibrary.org/obo/mesh_C442039	0.781
http://purl.obolibrary.org/obo/NBO_0000451	http://purl.obolibrary.org/obo/mesh_D010549	0.697
http://purl.obolibrary.org/obo/PR_000040662	http://purl.obolibrary.org/obo/mesh_C087822	0.735
http://purl.obolibrary.org/obo/PR_000006611	http://purl.obolibrary.org/obo/mesh_D018736	0.847
http://purl.obolibrary.org/obo/UBERON_0002512	http://purl.obolibrary.org/obo/mesh_D003338	0.899
http://purl.obolibrary.org/obo/GO_0060468	http://purl.obolibrary.org/obo/mesh_D055512	0.73
http://purl.obolibrary.org/obo/UBERON_4000020	http://purl.obolibrary.org/obo/mesh_D000091083	0.911
http://purl.obolibrary.org/obo/UBERON_0004237	http://purl.obolibrary.org/obo/mesh_D009131	0.725
http://purl.obolibrary.org/obo/UBERON_0013422	http://purl.obolibrary.org/obo/mesh_D000080884	0.823
http://purl.obolibrary.org/obo/UBERON_0003359	http://purl.obolibrary.org/obo/mesh_D013365	0.743
http://purl.obolibrary.org/obo/GO_0046681	http://purl.obolibrary.org/obo/mesh_C001090	0.685
http://purl.obolibrary.org/obo/CL_0000740	http://purl.obolibrary.org/obo/mesh_D012165	0.871
http://purl.obolibrary.org/obo/CHEBI_37246	http://purl.obolibrary.org/obo/mesh_C524957	0.875
http://purl.obolibrary.org/obo/CHEBI_16765	http://purl.obolibrary.org/obo/mesh_C030820	0.913
http://purl.obolibrary.org/obo/UBERON_0000370	http://purl.obolibrary.org/obo/mesh_C000682383	0.651
http://purl.obolibrary.org/obo/CHEBI_15366	http://purl.obolibrary.org/obo/mesh_D000085	0.815
http://purl.obolibrary.org/obo/GO_1904044	http://purl.obolibrary.org/obo/mesh_C563177	0.57
http://purl.obolibrary.org/obo/GO_0008061	http://purl.obolibrary.org/obo/mesh_D002687	0.869
http://purl.obolibrary.org/obo/PR_P15720	http://purl.obolibrary.org/obo/mesh_C031633	0.784
http://purl.obolibrary.org/obo/UBERON_2000983	http://purl.obolibrary.org/obo/mesh_C058273	0.616
http://purl.obolibrary.org/obo/GO_1901654	http://purl.obolibrary.org/obo/mesh_C054815	0.662
http://purl.obolibrary.org/obo/NCBITaxon_6239	http://purl.obolibrary.org/obo/mesh_D017173	0.867
http://purl.obolibrary.org/obo/PR_000029067	http://purl.obolibrary.org/obo/mesh_C114171	0.701
http://purl.obolibrary.org/obo/PATO_0000957	http://purl.obolibrary.org/obo/mesh_C021908	0.596
http://purl.obolibrary.org/obo/GO_0090435	http://purl.obolibrary.org/obo/mesh_C092347	0.687
http://purl.obolibrary.org/obo/UBERON_3000254	http://purl.obolibrary.org/obo/mesh_C072605	0.567
http://purl.obolibrary.org/obo/UBERON_3000569	http://purl.obolibrary.org/obo/mesh_C000703870	0.617
http://purl.obolibrary.org/obo/PR_000001850	http://purl.obolibrary.org/obo/mesh_D056657	0.847
http://purl.obolibrary.org/obo/UBERON_0000998	http://purl.obolibrary.org/obo/mesh_D012669	0.853
http://purl.obolibrary.org/obo/UBERON_3000956	http://purl.obolibrary.org/obo/mesh_C409443	0.779
http://purl.obolibrary.org/obo/UBERON_0000411	http://purl.obolibrary.org/obo/mesh_D014793	0.794
http://purl.obolibrary.org/obo/UBERON_0003697	http://purl.obolibrary.org/obo/mesh_D034861	0.86
http://purl.obolibrary.org/obo/UBERON_0002000	http://purl.obolibrary.org/obo/mesh_C535561	0.595
http://purl.obolibrary.org/obo/UBERON_3000640	http://purl.obolibrary.org/obo/mesh_D001112	0.551
http://purl.obolibrary.org/obo/PR_000007499	http://purl.obolibrary.org/obo/mesh_D051524	0.874
http://purl.obolibrary.org/obo/UBERON_0001152	http://purl.obolibrary.org/obo/mesh_D003549	0.866
http://purl.obolibrary.org/obo/CHEBI_23924	http://purl.obolibrary.org/obo/mesh_D020536	0.764
http://purl.obolibrary.org/obo/CHEBI_50320	http://purl.obolibrary.org/obo/mesh_C067995	0.76
http://purl.obolibrary.org/obo/UBERON_0035611	http://purl.obolibrary.org/obo/mesh_C407122	0.607
http://purl.obolibrary.org/obo/GO_0042923	http://purl.obolibrary.org/obo/mesh_C073964	0.789
http://purl.obolibrary.org/obo/CHEBI_35284	http://purl.obolibrary.org/obo/mesh_C024788	0.839
http://purl.obolibrary.org/obo/UBERON_0003705	http://purl.obolibrary.org/obo/mesh_D008467	0.611
http://purl.obolibrary.org/obo/NCBITaxon_7625	http://purl.obolibrary.org/obo/mesh_D012617	0.8
http://purl.obolibrary.org/obo/PR_000002062	http://purl.obolibrary.org/obo/mesh_D016173	0.87
http://purl.obolibrary.org/obo/UBERON_0001370	http://purl.obolibrary.org/obo/mesh_C000684274	0.712
http://purl.obolibrary.org/obo/UBERON_2000980	http://purl.obolibrary.org/obo/mesh_C550950	0.551
http://purl.obolibrary.org/obo/CHEBI_16526	http://purl.obolibrary.org/obo/mesh_D002245	0.893
http://purl.obolibrary.org/obo/GO_0034185	http://purl.obolibrary.org/obo/mesh_D000075943	0.758
http://purl.obolibrary.org/obo/CHEBI_33709	http://purl.obolibrary.org/obo/mesh_D000596	0.874
http://purl.obolibrary.org/obo/GO_0007611	http://purl.obolibrary.org/obo/mesh_D006380	0.697
http://purl.obolibrary.org/obo/GO_0021702	http://purl.obolibrary.org/obo/mesh_C091104	0.769
http://purl.obolibrary.org/obo/GO_0006310	http://purl.obolibrary.org/obo/mesh_D026942	0.721
http://purl.obolibrary.org/obo/GO_0009620	http://purl.obolibrary.org/obo/mesh_D012331	0.682
http://purl.obolibrary.org/obo/UBERON_0003686	http://purl.obolibrary.org/obo/mesh_D020390	0.931
http://purl.obolibrary.org/obo/GO_0005978	http://purl.obolibrary.org/obo/mesh_D025001	0.575
http://purl.obolibrary.org/obo/GO_0005577	http://purl.obolibrary.org/obo/mesh_D005340	0.7
http://purl.obolibrary.org/obo/PR_000010228	http://purl.obolibrary.org/obo/mesh_D004676	0.825
http://purl.obolibrary.org/obo/UBERON_7500062	http://purl.obolibrary.org/obo/mesh_D013978	0.679
http://purl.obolibrary.org/obo/UBERON_0002103	http://purl.obolibrary.org/obo/mesh_D006614	0.855
