SrcEntity	TgtEntity	Score
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9145	http://purl.obolibrary.org/obo/DOID_3347	0.953
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34521	http://purl.obolibrary.org/obo/DOID_9938	0.948
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C128342	http://purl.obolibrary.org/obo/DOID_0050353	0.938
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129022	http://purl.obolibrary.org/obo/DOID_0110504	0.868
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40133	http://purl.obolibrary.org/obo/DOID_5727	0.924
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129934	http://purl.obolibrary.org/obo/DOID_12680	0.953
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85079	http://purl.obolibrary.org/obo/DOID_1824	0.951
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111692	http://purl.obolibrary.org/obo/DOID_0050804	0.774
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6554	http://purl.obolibrary.org/obo/DOID_6230	0.811
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C128341	http://purl.obolibrary.org/obo/DOID_0050352	0.952
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93040	http://purl.obolibrary.org/obo/DOID_0050741	0.93
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99099	http://purl.obolibrary.org/obo/DOID_14720	0.788
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97085	http://purl.obolibrary.org/obo/DOID_519	0.968
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88412	http://purl.obolibrary.org/obo/DOID_0060041	0.951
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35767	http://purl.obolibrary.org/obo/DOID_2347	0.954
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101216	http://purl.obolibrary.org/obo/DOID_423	0.952
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84578	http://purl.obolibrary.org/obo/DOID_898	0.941
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61246	http://purl.obolibrary.org/obo/DOID_0060705	0.912
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C128343	http://purl.obolibrary.org/obo/DOID_0050354	0.957
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6447	http://purl.obolibrary.org/obo/DOID_5874	0.897
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4189	http://purl.obolibrary.org/obo/DOID_4922	0.933
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111694	http://purl.obolibrary.org/obo/DOID_0050803	0.772
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40130	http://purl.obolibrary.org/obo/DOID_5324	0.906
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C132827	http://purl.obolibrary.org/obo/DOID_0060710	0.95
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2912	http://purl.obolibrary.org/obo/DOID_8584	0.957
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84581	http://purl.obolibrary.org/obo/DOID_9643	0.968
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84579	http://purl.obolibrary.org/obo/DOID_0110861	0.942
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82343	http://purl.obolibrary.org/obo/DOID_9778	0.962
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6983	http://purl.obolibrary.org/obo/DOID_8013	0.763
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111695	http://purl.obolibrary.org/obo/DOID_0050805	0.804
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118697	http://purl.obolibrary.org/obo/DOID_0080041	0.946
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103936	http://purl.obolibrary.org/obo/DOID_1712	0.865
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27069	http://purl.obolibrary.org/obo/DOID_11088	0.791
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8090	http://purl.obolibrary.org/obo/DOID_7731	0.887
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4256	http://purl.obolibrary.org/obo/DOID_5139	0.954
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126329	http://purl.obolibrary.org/obo/DOID_0110828	0.943
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4257	http://purl.obolibrary.org/obo/DOID_5127	0.952
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26890	http://purl.obolibrary.org/obo/DOID_2519	0.841
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85075	http://purl.obolibrary.org/obo/DOID_12377	0.947
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3734	http://purl.obolibrary.org/obo/DOID_3314	0.95
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126692	http://purl.obolibrary.org/obo/DOID_0060437	0.898
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61257	http://purl.obolibrary.org/obo/DOID_14503	0.951
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94335	http://purl.obolibrary.org/obo/DOID_12399	0.931
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7813	http://purl.obolibrary.org/obo/DOID_9544	0.922
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50687	http://purl.obolibrary.org/obo/DOID_607	0.953
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39929	http://purl.obolibrary.org/obo/DOID_8081	0.909
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5368	http://purl.obolibrary.org/obo/DOID_6547	0.946
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2871	http://purl.obolibrary.org/obo/DOID_13381	0.94
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35012	http://purl.obolibrary.org/obo/DOID_9669	0.928
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26693	http://purl.obolibrary.org/obo/DOID_3362	0.788
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92565	http://purl.obolibrary.org/obo/DOID_0050856	0.947
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6460	http://purl.obolibrary.org/obo/DOID_7142	0.829
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5205	http://purl.obolibrary.org/obo/DOID_8310	0.86
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5165	http://purl.obolibrary.org/obo/DOID_5823	0.879
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40138	http://purl.obolibrary.org/obo/DOID_5829	0.948
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6221	http://purl.obolibrary.org/obo/DOID_6098	0.906
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148259	http://purl.obolibrary.org/obo/DOID_0110998	0.873
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99003	http://purl.obolibrary.org/obo/DOID_0110340	0.827
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75034	http://purl.obolibrary.org/obo/DOID_14757	0.79
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9347	http://purl.obolibrary.org/obo/DOID_4876	0.796
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6462	http://purl.obolibrary.org/obo/DOID_8137	0.817
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4432	http://purl.obolibrary.org/obo/DOID_7505	0.79
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40139	http://purl.obolibrary.org/obo/DOID_5302	0.94
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5434	http://purl.obolibrary.org/obo/DOID_3197	0.911
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3011	http://purl.obolibrary.org/obo/DOID_1911	0.818
