SrcEntity	TgtEntity	Score
http://purl.obolibrary.org/obo/mesh_D059951	http://purl.obolibrary.org/obo///identifiers.org/hgnc/4964	0.788
http://purl.obolibrary.org/obo/mesh_C579991	http://purl.obolibrary.org/obo/MONDO_0017160	0.662
http://purl.obolibrary.org/obo/mesh_C019859	http://purl.obolibrary.org/obo/GO_0016491	0.807
http://purl.obolibrary.org/obo/mesh_D000090422	http://purl.obolibrary.org/obo/ENVO_01000155	0.743
http://purl.obolibrary.org/obo/mesh_D051474	http://purl.obolibrary.org/obo/MONDO_0041052	0.836
http://purl.obolibrary.org/obo/mesh_D002249	http://purl.obolibrary.org/obo/MONDO_0800373	0.95
http://purl.obolibrary.org/obo/mesh_D018138	http://purl.obolibrary.org/obo/NCBITaxon_10293	0.953
http://purl.obolibrary.org/obo/mesh_C537298	http://purl.obolibrary.org/obo/MONDO_0021957	0.939
http://purl.obolibrary.org/obo/mesh_C086357	http://purl.obolibrary.org/obo/MONDO_0016802	0.731
http://purl.obolibrary.org/obo/mesh_D015922	http://purl.obolibrary.org/obo/MONDO_0013343	0.72
http://purl.obolibrary.org/obo/mesh_D012610	http://purl.obolibrary.org/obo/MONDO_0005954	0.882
http://purl.obolibrary.org/obo/mesh_C564415	http://purl.obolibrary.org/obo/MONDO_0010603	0.945
http://purl.obolibrary.org/obo/mesh_D007694	http://purl.obolibrary.org/obo/CL_0000937	0.875
http://purl.obolibrary.org/obo/mesh_D011553	http://purl.obolibrary.org/obo/MONDO_0017048	0.95
http://purl.obolibrary.org/obo/mesh_C112177	http://purl.obolibrary.org/obo/GO_0032104	0.758
http://purl.obolibrary.org/obo/mesh_D018139	http://purl.obolibrary.org/obo/NCBITaxon_10294	0.951
http://purl.obolibrary.org/obo/mesh_D010505	http://purl.obolibrary.org/obo/MONDO_0018088	0.93
http://purl.obolibrary.org/obo/mesh_D044682	http://purl.obolibrary.org/obo/UBERON_0022277	0.879
http://purl.obolibrary.org/obo/mesh_C538287	http://purl.obolibrary.org/obo/MONDO_0015300	0.963
http://purl.obolibrary.org/obo/mesh_D016993	http://purl.obolibrary.org/obo/NCBITaxon_2104	0.911
http://purl.obolibrary.org/obo/mesh_D014924	http://purl.obolibrary.org/obo/MONDO_0006018	0.715
http://purl.obolibrary.org/obo/mesh_C537593	http://purl.obolibrary.org/obo/MONDO_0017047	0.8
http://purl.obolibrary.org/obo/mesh_D010338	http://purl.obolibrary.org/obo/NCIT_C125581	0.761
http://purl.obolibrary.org/obo/mesh_C566908	http://purl.obolibrary.org/obo/MONDO_0013527	0.873
